customer_id,first_name,last_name,email,phone,ssn,date_of_birth,address,city,state,zip_code,signup_date
1,Donna,Green,donna.green80@proton.me,(570) 791-4150,821-18-1750,2004-04-29,3833 Hill St,Franklin,IA,23238,2025-04-06
2,Emily,Robinson,emily.robinson82@proton.me,(573) 366-7065,463-36-5374,2007-12-19,1269 Elm St,Milford,WA,42087,2022-11-01
3,Kathleen,Harris,kathleen.harris35@icloud.com,(904) 770-4598,801-51-1916,1965-07-20,625 Church Rd,Kingston,LA,18675,2023-05-15
4,Larry,Rivera,larry.rivera41@yahoo.com,(871) 711-7482,758-68-3340,1968-10-06,2387 Park Blvd,Lexington,OK,80644,2023-12-13
5,Maria,Nguyen,maria.nguyen55@aol.com,(608) 570-4593,241-75-9085,1953-02-26,871 Cedar Ln,Bristol,SD,30969,2025-09-26
6,Scott,Jones,scott.jones50@outlook.com,(810) 679-9669,357-80-1188,2006-01-12,1976 Lake Dr,Marion,TN,54587,2022-04-02
7,Donna,Ramirez,donna.ramirez21@outlook.com,(203) 939-5315,612-32-9317,1954-07-19,4989 Washington Ave,Bristol,MS,31174,2026-12-13
8,James,Hill,james.hill42@outlook.com,(219) 314-6947,414-40-1949,1966-08-11,9395 Maple Dr,Franklin,WA,73699,2021-10-11
9,Heather,Wright,heather.wright99@yahoo.com,(331) 875-8787,662-31-5342,1992-05-04,7032 Washington Ave,Milford,WI,36365,2024-06-30
10,Rebecca,Nelson,rebecca.nelson84@hotmail.com,(648) 729-8397,223-41-4681,1950-09-30,5639 Main St,Newport,OK,40161,2023-06-22
11,James,Jones,james.jones91@icloud.com,(260) 434-2104,132-52-2160,1991-02-16,3999 Lake Dr,Manchester,NY,38080,2022-06-26
12,Patrick,Torres,patrick.torres74@outlook.com,(448) 684-7669,294-22-2588,2004-02-14,7162 River Rd,Ashland,NE,71213,2021-08-10
13,Frank,Adams,frank.adams83@gmail.com,(262) 612-6559,211-41-4139,1962-01-24,8886 Sunset Blvd,Bristol,NV,34050,2024-02-15
14,Kathleen,Thomas,kathleen.thomas10@outlook.com,(763) 300-1828,767-79-1241,1953-05-15,3972 Elm St,Ashland,NY,73092,2023-05-26
15,Rebecca,Brown,rebecca.brown22@outlook.com,(202) 599-5345,565-46-7930,2007-06-30,9205 Lincoln Ave,Bristol,IL,48890,2023-06-11
16,Linda,Nguyen,linda.nguyen95@aol.com,(262) 965-6138,158-16-8811,1990-02-11,8801 Elm St,Riverside,NC,20500,2023-02-01
17,David,Hill,david.hill9@icloud.com,(440) 613-2964,683-41-1651,2000-07-26,1443 Highland Ave,Manchester,PA,84085,2026-11-12
18,Joshua,Taylor,joshua.taylor27@icloud.com,(933) 521-4910,371-60-3144,2005-04-05,5015 Sunset Blvd,Fairview,WI,19508,2021-02-08
19,Ryan,Flores,ryan.flores73@gmail.com,(275) 750-4492,618-43-3170,1976-04-24,1227 Park Blvd,Burlington,ME,30676,2025-11-30
20,Adam,Wright,adam.wright91@hotmail.com,(826) 869-9666,108-95-5905,2004-07-07,1797 Pine Rd,Georgetown,DE,24029,2022-09-29
21,Steven,Jackson,steven.jackson78@yahoo.com,(934) 551-4335,803-91-5325,1990-05-06,8104 Lake Dr,Winchester,AR,22097,2025-10-01
22,Adam,Moore,adam.moore6@gmail.com,(541) 989-3143,752-43-3647,1984-08-22,9138 Highland Ave,Milford,AL,24663,2021-11-05
23,Alexander,Martinez,alexander.martinez70@gmail.com,(578) 796-3426,540-26-1685,1972-08-28,6074 Oak Ave,Burlington,IN,99399,2023-10-20
24,Rachel,Miller,rachel.miller46@proton.me,(773) 616-3532,342-30-3900,1981-12-28,506 Elm St,Lexington,MI,63964,2023-10-14
25,Steven,Hernandez,steven.hernandez90@gmail.com,(591) 239-8711,327-35-8541,1976-05-15,5100 Park Blvd,Madison,AK,96511,2023-03-03
26,Rebecca,Perez,rebecca.perez36@proton.me,(271) 991-5573,459-92-9346,1980-11-09,8885 Church Rd,Springfield,DE,44237,2023-01-02
27,Justin,Taylor,justin.taylor5@gmail.com,(810) 644-6663,846-50-8149,1999-05-22,8479 Cedar Ln,Kingston,OR,34914,2023-11-10
28,Jennifer,Rivera,jennifer.rivera56@gmail.com,(732) 751-4228,472-65-2146,2004-08-04,5509 Church Rd,Manchester,DE,49363,2026-09-09
29,Michelle,Nelson,michelle.nelson53@hotmail.com,(612) 913-5844,667-26-4143,1982-09-21,6311 Elm St,Auburn,OR,49446,2025-07-22
